,total,year
0,53028928,2007
1,53232868,2008
2,52580452,2009
3,51549889,2010
4,50972619,2011
5,50545050,2012
6,50042448,2013
7,49771371,2014
8,48796512,2015
9,48817479,2016
10,48608093,2017
11,48455867,2018
