,total,name,year
0,6379299,Brasil,2010
1,6739689,Brasil,2011
2,7037688,Brasil,2012
3,7305977,Brasil,2013
4,7828013,Brasil,2014
5,8027297,Brasil,2015
6,8048701,Brasil,2016
7,8286663,Brasil,2017
8,8450755,Brasil,2018
