,sigla_uf,cod_uf,tipo_preco,preco
154,AM,42,CUB R1,2009.97
155,AM,42,CUB R1,2088.22
156,AM,43,CUB R1,2009.97
157,AM,43,CUB R1,2088.22
158,AM,50,CUB R1,2009.97
159,AM,50,CUB R1,2088.22
160,AM,51,CUB R1,2009.97
161,AM,51,CUB R1,2088.22
162,AM,52,CUB R1,2009.97
163,AM,52,CUB R1,2088.22
164,AM,53,CUB R1,2009.97
165,AM,53,CUB R1,2088.22
166,AM,99,CUB R1,2009.97
167,AM,99,CUB R1,2088.22
168,AP,11,CUB R1,1824.43
169,AP,11,CUB R1,1789.5
170,AP,12,CUB R1,1824.43
171,AP,12,CUB R1,1789.5
172,AP,13,CUB R1,1824.43
173,AP,13,CUB R1,1789.5
174,AP,14,CUB R1,1824.43
175,AP,14,CUB R1,1789.5
176,AP,15,CUB R1,1824.43
177,AP,15,CUB R1,1789.5
178,AP,16,CUB R1,1824.43
179,AP,16,CUB R1,1789.5
180,AP,17,CUB R1,1824.43
181,AP,17,CUB R1,1789.5
182,AP,21,CUB R1,1824.43
183,AP,21,CUB R1,1789.5
184,AP,22,CUB R1,1824.43
185,AP,22,CUB R1,1789.5
186,AP,23,CUB R1,1824.43
187,AP,23,CUB R1,1789.5
188,AP,24,CUB R1,1824.43
189,AP,24,CUB R1,1789.5
190,AP,25,CUB R1,1824.43
191,AP,25,CUB R1,1789.5
192,AP,26,CUB R1,1824.43
193,AP,26,CUB R1,1789.5
194,AP,27,CUB R1,1824.43
195,AP,27,CUB R1,1789.5
196,AP,28,CUB R1,1824.43
197,AP,28,CUB R1,1789.5
198,AP,29,CUB R1,1824.43
199,AP,29,CUB R1,1789.5
200,AP,31,CUB R1,1824.43
201,AP,31,CUB R1,1789.5
202,AP,32,CUB R1,1824.43
203,AP,32,CUB R1,1789.5
204,AP,33,CUB R1,1824.43
205,AP,33,CUB R1,1789.5
206,AP,35,CUB R1,1824.43
207,AP,35,CUB R1,1789.5
208,AP,41,CUB R1,1824.43
209,AP,41,CUB R1,1789.5
210,AP,42,CUB R1,1789.5
211,AP,42,CUB R1,1824.43
212,AP,43,CUB R1,1824.43
213,AP,43,CUB R1,1789.5
214,AP,50,CUB R1,1824.43
215,AP,50,CUB R1,1789.5
216,AP,51,CUB R1,1824.43
217,AP,51,CUB R1,1789.5
218,AP,52,CUB R1,1824.43
219,AP,52,CUB R1,1789.5
220,AP,53,CUB R1,1824.43
221,AP,53,CUB R1,1789.5
222,AP,99,CUB R1,1824.43
223,AP,99,CUB R1,1789.5
224,BA,11,CUB R1,2155.41
225,BA,11,CUB R1,2087.21
226,BA,12,CUB R1,2155.41
227,BA,12,CUB R1,2087.21
228,BA,13,CUB R1,2155.41
229,BA,13,CUB R1,2087.21
230,BA,14,CUB R1,2155.41
231,BA,14,CUB R1,2087.21
232,BA,15,CUB R1,2155.41
233,BA,15,CUB R1,2087.21
234,BA,16,CUB R1,2155.41
235,BA,16,CUB R1,2087.21
236,BA,17,CUB R1,2155.41
237,BA,17,CUB R1,2087.21
238,BA,21,CUB R1,2155.41
239,BA,21,CUB R1,2087.21
240,BA,22,CUB R1,2155.41
241,BA,22,CUB R1,2087.21
242,BA,23,CUB R1,2155.41
243,BA,23,CUB R1,2087.21
244,BA,24,CUB R1,2155.41
245,BA,24,CUB R1,2087.21
246,BA,25,CUB R1,2155.41
247,BA,25,CUB R1,2087.21
248,BA,26,CUB R1,2155.41
249,BA,26,CUB R1,2087.21
250,BA,27,CUB R1,2155.41
251,BA,27,CUB R1,2087.21
252,BA,28,CUB R1,2155.41
253,BA,28,CUB R1,2087.21
254,BA,29,CUB R1,2155.41
255,BA,29,CUB R1,2087.21
256,BA,31,CUB R1,2155.41
257,BA,31,CUB R1,2087.21
258,BA,32,CUB R1,2155.41
259,BA,32,CUB R1,2087.21
260,BA,33,CUB R1,2155.41
261,BA,33,CUB R1,2087.21
262,BA,35,CUB R1,2155.41
263,BA,35,CUB R1,2087.21
264,BA,41,CUB R1,2155.41
265,BA,41,CUB R1,2087.21
266,BA,42,CUB R1,2155.41
267,BA,42,CUB R1,2087.21
268,BA,43,CUB R1,2155.41
269,BA,43,CUB R1,2087.21
270,BA,50,CUB R1,2155.41
271,BA,50,CUB R1,2087.21
272,BA,51,CUB R1,2155.41
273,BA,51,CUB R1,2087.21
274,BA,52,CUB R1,2155.41
275,BA,52,CUB R1,2087.21
276,BA,53,CUB R1,2155.41
277,BA,53,CUB R1,2087.21
278,BA,99,CUB R1,2155.41
279,BA,99,CUB R1,2087.21
280,CE,11,CUB R1,1790.86
281,CE,11,CUB R1,1828.08
282,CE,12,CUB R1,1828.08
283,CE,12,CUB R1,1790.86
284,CE,13,CUB R1,1790.86
285,CE,13,CUB R1,1828.08
286,CE,14,CUB R1,1790.86
287,CE,14,CUB R1,1828.08
288,CE,15,CUB R1,1790.86
289,CE,15,CUB R1,1828.08
290,CE,16,CUB R1,1790.86
291,CE,16,CUB R1,1828.08
292,CE,17,CUB R1,1790.86
293,CE,17,CUB R1,1828.08
294,CE,21,CUB R1,1790.86
295,CE,21,CUB R1,1828.08
296,CE,22,CUB R1,1790.86
297,CE,22,CUB R1,1828.08
298,CE,23,CUB R1,1790.86
299,CE,23,CUB R1,1828.08
300,CE,24,CUB R1,1790.86
301,CE,24,CUB R1,1828.08
302,CE,25,CUB R1,1790.86
303,CE,25,CUB R1,1828.08
304,CE,26,CUB R1,1790.86
305,CE,26,CUB R1,1828.08
306,CE,27,CUB R1,1790.86
307,CE,27,CUB R1,1828.08
308,CE,28,CUB R1,1790.86
309,CE,28,CUB R1,1828.08
310,CE,29,CUB R1,1790.86
311,CE,29,CUB R1,1828.08
312,CE,31,CUB R1,1790.86
313,CE,31,CUB R1,1828.08
314,CE,32,CUB R1,1790.86
315,CE,32,CUB R1,1828.08
316,CE,33,CUB R1,1790.86
317,CE,33,CUB R1,1828.08
318,CE,35,CUB R1,1790.86
319,CE,35,CUB R1,1828.08
320,CE,41,CUB R1,1790.86
321,CE,41,CUB R1,1828.08
322,CE,42,CUB R1,1790.86
323,CE,42,CUB R1,1828.08
324,CE,43,CUB R1,1790.86
325,CE,43,CUB R1,1828.08
326,CE,50,CUB R1,1790.86
327,CE,50,CUB R1,1828.08
328,CE,51,CUB R1,1790.86
329,CE,51,CUB R1,1828.08
330,CE,52,CUB R1,1790.86
331,CE,52,CUB R1,1828.08
332,CE,53,CUB R1,1790.86
333,CE,53,CUB R1,1828.08
334,CE,99,CUB R1,1790.86
335,CE,99,CUB R1,1828.08
336,DF,11,CUB R1,1932.03
337,DF,11,CUB R1,1680.93
338,DF,12,CUB R1,1932.03
339,DF,12,CUB R1,1680.93
340,DF,13,CUB R1,1932.03
341,DF,13,CUB R1,1680.93
342,DF,14,CUB R1,1932.03
343,DF,14,CUB R1,1680.93
344,DF,15,CUB R1,1932.03
345,DF,15,CUB R1,1680.93
346,DF,16,CUB R1,1932.03
347,DF,16,CUB R1,1680.93
348,DF,17,CUB R1,1932.03
349,DF,17,CUB R1,1680.93
350,DF,21,CUB R1,1932.03
351,DF,21,CUB R1,1680.93
352,DF,22,CUB R1,1932.03
353,DF,22,CUB R1,1680.93
354,DF,23,CUB R1,1932.03
355,DF,23,CUB R1,1680.93
356,DF,24,CUB R1,1932.03
357,DF,24,CUB R1,1680.93
358,DF,25,CUB R1,1932.03
359,DF,25,CUB R1,1680.93
360,DF,26,CUB R1,1932.03
361,DF,26,CUB R1,1680.93
362,DF,27,CUB R1,1932.03
363,DF,27,CUB R1,1680.93
364,DF,28,CUB R1,1932.03
365,DF,28,CUB R1,1680.93
366,DF,29,CUB R1,1932.03
367,DF,29,CUB R1,1680.93
368,DF,31,CUB R1,1932.03
369,DF,31,CUB R1,1680.93
370,DF,32,CUB R1,1932.03
371,DF,32,CUB R1,1680.93
372,DF,33,CUB R1,1932.03
373,DF,33,CUB R1,1680.93
374,DF,35,CUB R1,1932.03
375,DF,35,CUB R1,1680.93
376,DF,41,CUB R1,1932.03
377,DF,41,CUB R1,1680.93
378,DF,42,CUB R1,1932.03
379,DF,42,CUB R1,1680.93
380,DF,43,CUB R1,1932.03
381,DF,43,CUB R1,1680.93
382,DF,50,CUB R1,1932.03
383,DF,50,CUB R1,1680.93
384,DF,51,CUB R1,1932.03
385,DF,51,CUB R1,1680.93
386,DF,52,CUB R1,1932.03
387,DF,52,CUB R1,1680.93
388,DF,53,CUB R1,1932.03
389,DF,53,CUB R1,1680.93
390,DF,99,CUB R1,1680.93
391,DF,99,CUB R1,1932.03
392,ES,11,CUB R1,2239.93
393,ES,11,CUB R1,2370.42
394,ES,12,CUB R1,2370.42
395,ES,12,CUB R1,2239.93
396,ES,13,CUB R1,2370.42
397,ES,13,CUB R1,2239.93
398,ES,14,CUB R1,2370.42
399,ES,14,CUB R1,2239.93
400,ES,15,CUB R1,2370.42
401,ES,15,CUB R1,2239.93
402,ES,16,CUB R1,2370.42
403,ES,16,CUB R1,2239.93
404,ES,17,CUB R1,2370.42
405,ES,17,CUB R1,2239.93
406,ES,21,CUB R1,2370.42
407,ES,21,CUB R1,2239.93
408,ES,22,CUB R1,2370.42
409,ES,22,CUB R1,2239.93
410,ES,23,CUB R1,2370.42
411,ES,23,CUB R1,2239.93
412,ES,24,CUB R1,2370.42
413,ES,24,CUB R1,2239.93
414,ES,25,CUB R1,2370.42
415,ES,25,CUB R1,2239.93
416,ES,26,CUB R1,2370.42
417,ES,26,CUB R1,2239.93
418,ES,27,CUB R1,2370.42
419,ES,27,CUB R1,2239.93
420,ES,28,CUB R1,2370.42
421,ES,28,CUB R1,2239.93
422,ES,29,CUB R1,2370.42
423,ES,29,CUB R1,2239.93
424,ES,31,CUB R1,2370.42
425,ES,31,CUB R1,2239.93
426,ES,32,CUB R1,2370.42
427,ES,32,CUB R1,2239.93
428,ES,33,CUB R1,2370.42
429,ES,33,CUB R1,2239.93
430,ES,35,CUB R1,2370.42
431,ES,35,CUB R1,2239.93
432,ES,41,CUB R1,2370.42
433,ES,41,CUB R1,2239.93
434,ES,42,CUB R1,2370.42
435,ES,42,CUB R1,2239.93
436,ES,43,CUB R1,2370.42
437,ES,43,CUB R1,2239.93
438,ES,50,CUB R1,2370.42
439,ES,50,CUB R1,2239.93
440,ES,51,CUB R1,2370.42
441,ES,51,CUB R1,2239.93
442,ES,52,CUB R1,2370.42
443,ES,52,CUB R1,2239.93
444,ES,53,CUB R1,2370.42
445,ES,53,CUB R1,2239.93
446,ES,99,CUB R1,2370.42
447,ES,99,CUB R1,2239.93
448,GO,11,CUB R1,1932.66
449,GO,11,CUB R1,1837.19
450,GO,12,CUB R1,1837.19
451,GO,12,CUB R1,1932.66
452,GO,13,CUB R1,1932.66
453,GO,13,CUB R1,1837.19
454,GO,14,CUB R1,1932.66
455,GO,14,CUB R1,1837.19
456,GO,15,CUB R1,1932.66
457,GO,15,CUB R1,1837.19
458,GO,16,CUB R1,1932.66
459,GO,16,CUB R1,1837.19
460,GO,17,CUB R1,1932.66
461,GO,17,CUB R1,1837.19
462,GO,21,CUB R1,1932.66
463,GO,21,CUB R1,1837.19
464,GO,22,CUB R1,1932.66
465,GO,22,CUB R1,1837.19
466,GO,23,CUB R1,1932.66
467,GO,23,CUB R1,1837.19
468,GO,24,CUB R1,1932.66
469,GO,24,CUB R1,1837.19
470,GO,25,CUB R1,1932.66
471,GO,25,CUB R1,1837.19
472,GO,26,CUB R1,1932.66
473,GO,26,CUB R1,1837.19
474,GO,27,CUB R1,1932.66
475,GO,27,CUB R1,1837.19
476,GO,28,CUB R1,1932.66
477,GO,28,CUB R1,1837.19
478,GO,29,CUB R1,1932.66
479,GO,29,CUB R1,1837.19
480,GO,31,CUB R1,1932.66
481,GO,31,CUB R1,1837.19
482,GO,32,CUB R1,1932.66
483,GO,32,CUB R1,1837.19
484,GO,33,CUB R1,1932.66
485,GO,33,CUB R1,1837.19
486,GO,35,CUB R1,1932.66
487,GO,35,CUB R1,1837.19
488,GO,41,CUB R1,1932.66
489,GO,41,CUB R1,1837.19
490,GO,42,CUB R1,1932.66
491,GO,42,CUB R1,1837.19
492,GO,43,CUB R1,1932.66
493,GO,43,CUB R1,1837.19
494,GO,50,CUB R1,1932.66
495,GO,50,CUB R1,1837.19
496,GO,51,CUB R1,1932.66
497,GO,51,CUB R1,1837.19
498,GO,52,CUB R1,1932.66
499,GO,52,CUB R1,1837.19
500,GO,53,CUB R1,1932.66
501,GO,53,CUB R1,1837.19
502,GO,99,CUB R1,1932.66
503,GO,99,CUB R1,1837.19
504,MA,11,CUB R1,1878.43
505,MA,11,CUB R1,1917.6
506,MA,12,CUB R1,1917.6
507,MA,12,CUB R1,1878.43
508,MA,13,CUB R1,1917.6
509,MA,13,CUB R1,1878.43
510,MA,14,CUB R1,1917.6
511,MA,14,CUB R1,1878.43
512,MA,15,CUB R1,1917.6
513,MA,15,CUB R1,1878.43
514,MA,16,CUB R1,1917.6
515,MA,16,CUB R1,1878.43
516,MA,17,CUB R1,1917.6
517,MA,17,CUB R1,1878.43
518,MA,21,CUB R1,1917.6
519,MA,21,CUB R1,1878.43
520,MA,22,CUB R1,1917.6
521,MA,22,CUB R1,1878.43
522,MA,23,CUB R1,1917.6
523,MA,23,CUB R1,1878.43
524,MA,24,CUB R1,1917.6
525,MA,24,CUB R1,1878.43
526,MA,25,CUB R1,1917.6
527,MA,25,CUB R1,1878.43
528,MA,26,CUB R1,1917.6
529,MA,26,CUB R1,1878.43
530,MA,27,CUB R1,1917.6
531,MA,27,CUB R1,1878.43
532,MA,28,CUB R1,1917.6
533,MA,28,CUB R1,1878.43
534,MA,29,CUB R1,1917.6
535,MA,29,CUB R1,1878.43
536,MA,31,CUB R1,1917.6
537,MA,31,CUB R1,1878.43
538,MA,32,CUB R1,1917.6
539,MA,32,CUB R1,1878.43
540,MA,33,CUB R1,1917.6
541,MA,33,CUB R1,1878.43
542,MA,35,CUB R1,1917.6
543,MA,35,CUB R1,1878.43
544,MA,41,CUB R1,1917.6
545,MA,41,CUB R1,1878.43
546,MA,42,CUB R1,1917.6
547,MA,42,CUB R1,1878.43
548,MA,43,CUB R1,1917.6
549,MA,43,CUB R1,1878.43
550,MA,50,CUB R1,1917.6
551,MA,50,CUB R1,1878.43
552,MA,51,CUB R1,1917.6
553,MA,51,CUB R1,1878.43
554,MA,52,CUB R1,1917.6
555,MA,52,CUB R1,1878.43
556,MA,53,CUB R1,1917.6
557,MA,53,CUB R1,1878.43
558,MA,99,CUB R1,1917.6
559,MA,99,CUB R1,1878.43
560,MG,11,CUB R1,2146.24
561,MG,11,CUB R1,2064.68
562,MG,12,CUB R1,2064.68
563,MG,12,CUB R1,2146.24
564,MG,13,CUB R1,2064.68
565,MG,13,CUB R1,2146.24
566,MG,14,CUB R1,2064.68
567,MG,14,CUB R1,2146.24
568,MG,15,CUB R1,2064.68
569,MG,15,CUB R1,2146.24
570,MG,16,CUB R1,2064.68
571,MG,16,CUB R1,2146.24
572,MG,17,CUB R1,2064.68
573,MG,17,CUB R1,2146.24
574,MG,21,CUB R1,2064.68
575,MG,21,CUB R1,2146.24
576,MG,22,CUB R1,2064.68
577,MG,22,CUB R1,2146.24
578,MG,23,CUB R1,2064.68
579,MG,23,CUB R1,2146.24
580,MG,24,CUB R1,2064.68
581,MG,24,CUB R1,2146.24
582,MG,25,CUB R1,2064.68
583,MG,25,CUB R1,2146.24
584,MG,26,CUB R1,2064.68
585,MG,26,CUB R1,2146.24
586,MG,27,CUB R1,2064.68
587,MG,27,CUB R1,2146.24
588,MG,28,CUB R1,2064.68
589,MG,28,CUB R1,2146.24
590,MG,29,CUB R1,2064.68
591,MG,29,CUB R1,2146.24
592,MG,31,CUB R1,2064.68
593,MG,31,CUB R1,2146.24
594,MG,32,CUB R1,2064.68
595,MG,32,CUB R1,2146.24
596,MG,33,CUB R1,2064.68
597,MG,33,CUB R1,2146.24
598,MG,35,CUB R1,2064.68
599,MG,35,CUB R1,2146.24
600,MG,41,CUB R1,2064.68
601,MG,41,CUB R1,2146.24
602,MG,42,CUB R1,2064.68
603,MG,42,CUB R1,2146.24
604,MG,43,CUB R1,2064.68
605,MG,43,CUB R1,2146.24
606,MG,50,CUB R1,2064.68
607,MG,50,CUB R1,2146.24
608,MG,51,CUB R1,2064.68
609,MG,51,CUB R1,2146.24
610,MG,52,CUB R1,2064.68
611,MG,52,CUB R1,2146.24
612,MG,53,CUB R1,2064.68
613,MG,53,CUB R1,2146.24
614,MG,99,CUB R1,2064.68
615,MG,99,CUB R1,2146.24
616,MS,11,CUB R1,1671.14
617,MS,11,CUB R1,1731.05
618,MS,12,CUB R1,1671.14
619,MS,12,CUB R1,1731.05
620,MS,13,CUB R1,1671.14
621,MS,13,CUB R1,1731.05
622,MS,14,CUB R1,1671.14
623,MS,14,CUB R1,1731.05
624,MS,15,CUB R1,1671.14
625,MS,15,CUB R1,1731.05
626,MS,16,CUB R1,1671.14
627,MS,16,CUB R1,1731.05
628,MS,17,CUB R1,1671.14
629,MS,17,CUB R1,1731.05
630,MS,21,CUB R1,1671.14
631,MS,21,CUB R1,1731.05
632,MS,22,CUB R1,1671.14
633,MS,22,CUB R1,1731.05
634,MS,23,CUB R1,1671.14
635,MS,23,CUB R1,1731.05
636,MS,24,CUB R1,1671.14
637,MS,24,CUB R1,1731.05
638,MS,25,CUB R1,1671.14
639,MS,25,CUB R1,1731.05
640,MS,26,CUB R1,1671.14
641,MS,26,CUB R1,1731.05
642,MS,27,CUB R1,1671.14
