,total,year
0,1732902,2007
1,1763331,2008
2,1644133,2009
3,1844163,2010
4,1887135,2011
5,1990567,2012
6,2045982,2013
7,2055770,2014
8,2062604,2015
9,2061962,2016
10,2096704,2017
11,2031554,2018
12,1416474,2019
