,year,education_level_short_id,average_class_duration,median_class_duration,std_class_duration,fstqt_class_duration,thdqt_class_duration,education_level_short_name
61,2015,6,12.831445523193095,14.666,3.020936300021354,10.0,15.333,EJA
62,2015,99,8.087333333333333,8.0,0.8972534414293206,7.5,8.5,Não classificada
63,2016,1,10.145077174134766,10.0,0.9924484831483692,9.5,11.0,Creche
64,2016,2,9.917704728950405,10.0,1.2043004925469467,9.0,11.0,Pré-Escola
65,2016,3,8.411217085577498,8.166,0.9498941591709033,8.0,9.0,Ensino Fundamental - anos iniciais
66,2016,4,8.363335925349922,8.166,1.0316981100208598,7.75,9.0,Ensino Fundamental - anos finais
67,2016,5,9.560769520048888,9.666,1.1207133456913188,8.75,10.25,Ensino Médio
68,2016,6,12.784157832744405,14.833,3.007290410666449,10.0,15.333,EJA
69,2016,99,8.19802356518434,8.0,0.9263064102381743,7.5,9.0,Não classificada
70,2017,1,10.10024050978685,10.0,1.0107577569611073,9.5,11.0,Creche
71,2017,2,9.890990535942153,10.0,1.2369876948685103,9.0,11.0,Pré-Escola
72,2017,3,8.351333929358107,8.0,0.9699625247897272,7.833,9.0,Ensino Fundamental - anos iniciais
73,2017,4,8.365372724149777,8.0,1.042542573158129,7.75,9.0,Ensino Fundamental - anos finais
74,2017,5,9.540516766289374,9.666,1.0920955925722644,8.666,10.166,Ensino Médio
75,2017,6,11.991408934707904,13.75,3.4705548355423295,8.5,15.166,EJA
76,2017,99,8.070218795307763,8.0,0.8699866503170777,7.5,8.0,Não classificada
77,2018,1,10.039007843968625,10.0,1.0395112724394726,9.5,10.5,Creche
78,2018,2,9.75106883667457,10.0,1.24419532306311,9.0,10.5,Pré-Escola
79,2018,3,8.405751717043357,8.166,0.9940946137965059,7.833,9.0,Ensino Fundamental - anos iniciais
80,2018,4,8.426384803921568,8.166,1.049391362955531,8.0,9.0,Ensino Fundamental - anos finais
81,2018,5,9.558654437778804,9.5,1.0674594272446245,8.916,10.166,Ensino Médio
82,2018,6,12.45973496432212,14.583,3.25100155472403,9.5,15.25,EJA
83,2018,99,8.347539149888144,8.0,1.0819369448201221,7.5,9.0,Não classificada
84,2019,1,10.0076310657706,10.0,1.0502963339014537,9.5,10.5,Creche
85,2019,2,9.65211117049706,10.0,1.2315744567882771,9.0,10.333,Pré-Escola
86,2019,3,8.430674306519242,8.333,0.9711446351137837,8.0,9.0,Ensino Fundamental - anos iniciais
87,2019,4,8.484200518772532,8.333,1.048744375373699,8.0,9.166,Ensino Fundamental - anos finais
88,2019,5,9.559737277547022,9.5,0.9975490580654699,9.0,10.0,Ensino Médio
89,2019,6,11.695054945054945,10.0,3.2896545362646634,9.25,15.083,EJA
90,2019,99,8.220158906134516,8.0,1.0423244767866764,7.25,9.0,Não classificada
