,total,year,adm_dependency_detailed_id,school_year_id,adm_dependency_detailed_name,school_year_name
88,277852,2007,8,53.0,Privada sem detalhamento,Ens. Médio - 3ª série
89,3329,2007,8,54.0,Privada sem detalhamento,Ens. Médio - 4ª série
90,40005,2007,8,61.0,Privada sem detalhamento,EJA - anos iniciais do Ens. Fundamental
91,846,2007,8,62.0,Privada sem detalhamento,EJA - anos finais do Ens. Fundamental
92,644,2007,8,63.0,Privada sem detalhamento,EJA - Ensino Médio
93,378759,2007,8,71.0,Privada sem detalhamento,Educação Profissional
94,9745,2008,1,,Federal,Não classificada
95,179,2008,1,11.0,Federal,Creche - Menor de 1 ano
96,262,2008,1,12.0,Federal,Creche - 1 ano
97,418,2008,1,13.0,Federal,Creche - 2 anos
98,500,2008,1,14.0,Federal,Creche - 3 anos
99,462,2008,1,21.0,Federal,Pré-escola - 4 anos
100,555,2008,1,22.0,Federal,Pré-escola - 5 anos
101,1183,2008,1,31.0,Federal,Ens. Fundamental - 1º Ano
102,1452,2008,1,32.0,Federal,Ens. Fundamental - 1ª série/2º ano
103,1563,2008,1,33.0,Federal,Ens. Fundamental - 2ª série/3º ano
104,1573,2008,1,34.0,Federal,Ens. Fundamental - 3ª série/4º ano
105,1829,2008,1,35.0,Federal,Ens. Fundamental - 4ª série/5º Ano
106,4091,2008,1,41.0,Federal,Ens. Fundamental - 5ª série/6º ano
107,4637,2008,1,42.0,Federal,Ens. Fundamental - 6ª série/7º ano
108,4881,2008,1,43.0,Federal,Ens. Fundamental - 7ª série/8º ano
109,4936,2008,1,44.0,Federal,Ens. Fundamental - 8ª serie/9º ano
110,35821,2008,1,51.0,Federal,Ens. Médio - 1ª série
111,23570,2008,1,52.0,Federal,Ens. Médio - 2ª série
112,20420,2008,1,53.0,Federal,Ens. Médio - 3ª série
113,2384,2008,1,54.0,Federal,Ens. Médio - 4ª série
114,77071,2008,1,71.0,Federal,Educação Profissional
115,2838049,2008,2,,Estadual,Não classificada
116,858,2008,2,11.0,Estadual,Creche - Menor de 1 ano
117,1838,2008,2,12.0,Estadual,Creche - 1 ano
118,3559,2008,2,13.0,Estadual,Creche - 2 anos
119,10350,2008,2,14.0,Estadual,Creche - 3 anos
120,35596,2008,2,21.0,Estadual,Pré-escola - 4 anos
121,123016,2008,2,22.0,Estadual,Pré-escola - 5 anos
122,293412,2008,2,31.0,Estadual,Ens. Fundamental - 1º Ano
123,732056,2008,2,32.0,Estadual,Ens. Fundamental - 1ª série/2º ano
124,803553,2008,2,33.0,Estadual,Ens. Fundamental - 2ª série/3º ano
125,867005,2008,2,34.0,Estadual,Ens. Fundamental - 3ª série/4º ano
126,906146,2008,2,35.0,Estadual,Ens. Fundamental - 4ª série/5º Ano
127,2008461,2008,2,41.0,Estadual,Ens. Fundamental - 5ª série/6º ano
128,1877022,2008,2,42.0,Estadual,Ens. Fundamental - 6ª série/7º ano
129,1770807,2008,2,43.0,Estadual,Ens. Fundamental - 7ª série/8º ano
130,1723060,2008,2,44.0,Estadual,Ens. Fundamental - 8ª serie/9º ano
131,3010799,2008,2,51.0,Estadual,Ens. Médio - 1ª série
132,2235967,2008,2,52.0,Estadual,Ens. Médio - 2ª série
133,1888852,2008,2,53.0,Estadual,Ens. Médio - 3ª série
134,42070,2008,2,54.0,Estadual,Ens. Médio - 4ª série
135,2928,2008,2,61.0,Estadual,EJA - anos iniciais do Ens. Fundamental
136,173,2008,2,62.0,Estadual,EJA - anos finais do Ens. Fundamental
137,107,2008,2,63.0,Estadual,EJA - Ensino Médio
138,257757,2008,2,71.0,Estadual,Educação Profissional
139,1947282,2008,3,,Municipal,Não classificada
140,68479,2008,3,11.0,Municipal,Creche - Menor de 1 ano
141,192780,2008,3,12.0,Municipal,Creche - 1 ano
142,401768,2008,3,13.0,Municipal,Creche - 2 anos
143,840950,2008,3,14.0,Municipal,Creche - 3 anos
144,1519180,2008,3,21.0,Municipal,Pré-escola - 4 anos
145,1941544,2008,3,22.0,Municipal,Pré-escola - 5 anos
146,1584281,2008,3,31.0,Municipal,Ens. Fundamental - 1º Ano
147,2594467,2008,3,32.0,Municipal,Ens. Fundamental - 1ª série/2º ano
148,2663540,2008,3,33.0,Municipal,Ens. Fundamental - 2ª série/3º ano
149,2585674,2008,3,34.0,Municipal,Ens. Fundamental - 3ª série/4º ano
150,2494459,2008,3,35.0,Municipal,Ens. Fundamental - 4ª série/5º Ano
151,1800360,2008,3,41.0,Municipal,Ens. Fundamental - 5ª série/6º ano
152,1478185,2008,3,42.0,Municipal,Ens. Fundamental - 6ª série/7º ano
153,1207134,2008,3,43.0,Municipal,Ens. Fundamental - 7ª série/8º ano
154,1011708,2008,3,44.0,Municipal,Ens. Fundamental - 8ª serie/9º ano
155,54296,2008,3,51.0,Municipal,Ens. Médio - 1ª série
156,42428,2008,3,52.0,Municipal,Ens. Médio - 2ª série
157,33895,2008,3,53.0,Municipal,Ens. Médio - 3ª série
158,5652,2008,3,54.0,Municipal,Ens. Médio - 4ª série
159,3270,2008,3,61.0,Municipal,EJA - anos iniciais do Ens. Fundamental
160,277,2008,3,62.0,Municipal,EJA - anos finais do Ens. Fundamental
161,15,2008,3,63.0,Municipal,EJA - Ensino Médio
162,29228,2008,3,71.0,Municipal,Educação Profissional
163,9039,2008,4,,Privada conveniada sem fins lucrativos,Não classificada
164,17740,2008,4,11.0,Privada conveniada sem fins lucrativos,Creche - Menor de 1 ano
165,51791,2008,4,12.0,Privada conveniada sem fins lucrativos,Creche - 1 ano
