,total,name,year,education_type_id,education_type_name
92,36536,Brasil,2016,5,Superior bacharelado ou tecnólogo
93,707568,Brasil,2016,6,Superior licenciatura ou complementação pedagógica
94,19619,Brasil,2016,7,Especialização com bacharelado ou tecnólogo
95,600974,Brasil,2016,8,Especialização com licenciatura
96,5997,Brasil,2016,9,Mestrado com bacharelado ou tecnólogo
97,30119,Brasil,2016,10,Mestrado com licenciatura
98,1921,Brasil,2016,11,Doutorado com bacharelado ou tecnólogo
99,5127,Brasil,2016,12,Doutorado com licenciatura
100,163507,Brasil,2017,3,Ensino Médio
101,153685,Brasil,2017,4,Ensino Médio na modalidade normal
102,33842,Brasil,2017,5,Superior bacharelado ou tecnólogo
103,688226,Brasil,2017,6,Superior licenciatura ou complementação pedagógica
104,18495,Brasil,2017,7,Especialização com bacharelado ou tecnólogo
105,628328,Brasil,2017,8,Especialização com licenciatura
106,6512,Brasil,2017,9,Mestrado com bacharelado ou tecnólogo
107,33482,Brasil,2017,10,Mestrado com licenciatura
108,2368,Brasil,2017,11,Doutorado com bacharelado ou tecnólogo
109,6093,Brasil,2017,12,Doutorado com licenciatura
110,158034,Brasil,2018,3,Ensino Médio
111,130200,Brasil,2018,4,Ensino Médio na modalidade normal
112,24867,Brasil,2018,5,Superior bacharelado ou tecnólogo
113,708573,Brasil,2018,6,Superior licenciatura ou complementação pedagógica
114,15168,Brasil,2018,7,Especialização com bacharelado ou tecnólogo
115,657652,Brasil,2018,8,Especialização com licenciatura
116,6883,Brasil,2018,9,Mestrado com bacharelado ou tecnólogo
117,36848,Brasil,2018,10,Mestrado com licenciatura
118,2751,Brasil,2018,11,Doutorado com bacharelado ou tecnólogo
119,7193,Brasil,2018,12,Doutorado com licenciatura
120,75559,Brasil,2019,3,Ensino Médio
121,128245,Brasil,2019,4,Ensino Médio na modalidade normal
122,43752,Brasil,2019,5,Superior bacharelado ou tecnólogo
123,682028,Brasil,2019,6,Superior licenciatura ou complementação pedagógica
124,35886,Brasil,2019,7,Especialização com bacharelado ou tecnólogo
125,697926,Brasil,2019,8,Especialização com licenciatura
126,10827,Brasil,2019,9,Mestrado com bacharelado ou tecnólogo
127,40765,Brasil,2019,10,Mestrado com licenciatura
128,4363,Brasil,2019,11,Doutorado com bacharelado ou tecnólogo
129,7596,Brasil,2019,12,Doutorado com licenciatura
