,year,education_level_short_id,average_class_duration,median_class_duration,std_class_duration,fstqt_class_duration,thdqt_class_duration,education_level_short_name
60,2015,5,4.713389480921279,4.5,0.4668885348999804,4.416,5.0,Ensino Médio
61,2015,6,4.046383267163746,4.0,0.6601507197363244,4.0,4.5,EJA
62,2015,99,4.160372166719079,4.0,0.2796864982505057,4.0,4.25,Não classificada
63,2016,1,4.275181702174878,4.0,0.517475261288948,4.0,4.5,Creche
64,2016,2,4.235633392324181,4.0,0.4798601743016411,4.0,4.333,Pré-Escola
65,2016,3,4.29906219622859,4.25,0.3609162577374599,4.0,4.5,Ensino Fundamental - anos iniciais
66,2016,4,4.512839544702155,4.416,0.44828841529965674,4.25,4.75,Ensino Fundamental - anos finais
67,2016,5,4.728694399002882,4.5,0.47264121702535655,4.416,5.0,Ensino Médio
68,2016,6,4.012040939193257,4.0,0.6250710792895462,4.0,4.5,EJA
69,2016,99,4.16383507728549,4.0,0.2730164183890808,4.0,4.25,Não classificada
70,2017,1,4.258618335397415,4.0,0.4938516900164252,4.0,4.5,Creche
71,2017,2,4.235195311460578,4.0,0.47491667318064296,4.0,4.333,Pré-Escola
72,2017,3,4.298848351630359,4.25,0.3593275676838474,4.0,4.5,Ensino Fundamental - anos iniciais
73,2017,4,4.5153635876666165,4.416,0.4514096035432629,4.25,4.75,Ensino Fundamental - anos finais
74,2017,5,4.778197967574276,4.5,0.5073008773714166,4.416,5.166,Ensino Médio
75,2017,6,3.992493406370461,4.0,0.626818179441354,4.0,4.416,EJA
76,2017,99,4.1758298535078335,4.0,0.2760612128492039,4.0,4.333,Não classificada
77,2018,1,4.25808641346774,4.0,0.4887010161600414,4.0,4.5,Creche
78,2018,2,4.242985991713408,4.0,0.47805752240807636,4.0,4.333,Pré-Escola
79,2018,3,4.30318498773886,4.25,0.35332718475317837,4.0,4.5,Ensino Fundamental - anos iniciais
80,2018,4,4.51988126283504,4.416,0.45204521779682966,4.25,4.75,Ensino Fundamental - anos finais
81,2018,5,4.795308351097647,4.583,0.5255488424979957,4.416,5.25,Ensino Médio
82,2018,6,4.036300048239267,4.0,0.5642704945254772,4.0,4.416,EJA
83,2018,99,4.186467364093915,4.0,0.2782068064263911,4.0,4.333,Não classificada
84,2019,1,4.270627422292091,4.0,0.48982301158636565,4.0,4.5,Creche
85,2019,2,4.247481988251142,4.0,0.4741932950072083,4.0,4.333,Pré-Escola
86,2019,3,4.306141721820782,4.25,0.3516943327055738,4.0,4.5,Ensino Fundamental - anos iniciais
87,2019,4,4.531032548506335,4.416,0.4578941228870972,4.25,4.833,Ensino Fundamental - anos finais
88,2019,5,4.80764383956218,4.666,0.50151471545049,4.5,5.25,Ensino Médio
89,2019,6,4.058899072647146,4.0,0.5558038831369893,4.0,4.5,EJA
90,2019,99,4.191931391549401,4.0,0.2813359095985417,4.0,4.333,Não classificada
