,total,year,school_year_id,location_id,school_year_name,location_name
91,1043,2008,63.0,1,EJA - Ensino Médio,Urbana
92,767708,2008,71.0,1,Educação Profissional,Urbana
93,32678,2008,71.0,2,Educação Profissional,Rural
94,107062,2009,11.0,1,Creche - Menor de 1 ano,Urbana
95,2919,2009,11.0,2,Creche - Menor de 1 ano,Rural
96,316792,2009,12.0,1,Creche - 1 ano,Urbana
97,11124,2009,12.0,2,Creche - 1 ano,Rural
98,686075,2009,13.0,1,Creche - 2 anos,Urbana
99,48703,2009,13.0,2,Creche - 2 anos,Rural
100,1212016,2009,14.0,1,Creche - 3 anos,Urbana
101,160443,2009,14.0,2,Creche - 3 anos,Rural
102,1798868,2009,21.0,1,Pré-escola - 4 anos,Urbana
103,312995,2009,21.0,2,Pré-escola - 4 anos,Rural
104,2147028,2009,22.0,1,Pré-escola - 5 anos,Urbana
105,408759,2009,22.0,2,Pré-escola - 5 anos,Rural
106,1791185,2009,31.0,1,Ens. Fundamental - 1º Ano,Urbana
107,420306,2009,31.0,2,Ens. Fundamental - 1º Ano,Rural
108,2873564,2009,32.0,1,Ens. Fundamental - 1ª série/2º ano,Urbana
109,749839,2009,32.0,2,Ens. Fundamental - 1ª série/2º ano,Rural
110,2974592,2009,33.0,1,Ens. Fundamental - 2ª série/3º ano,Urbana
111,748099,2009,33.0,2,Ens. Fundamental - 2ª série/3º ano,Rural
112,2961573,2009,34.0,1,Ens. Fundamental - 3ª série/4º ano,Urbana
113,707958,2009,34.0,2,Ens. Fundamental - 3ª série/4º ano,Rural
114,3143332,2009,35.0,1,Ens. Fundamental - 4ª série/5º Ano,Urbana
115,681093,2009,35.0,2,Ens. Fundamental - 4ª série/5º Ano,Rural
116,3682934,2009,41.0,1,Ens. Fundamental - 5ª série/6º ano,Urbana
117,517739,2009,41.0,2,Ens. Fundamental - 5ª série/6º ano,Rural
118,3286223,2009,42.0,1,Ens. Fundamental - 6ª série/7º ano,Urbana
119,418828,2009,42.0,2,Ens. Fundamental - 6ª série/7º ano,Rural
