,total,name,year,percentage,partial
116,149841,Brasil,2015,96.9774627772105,145312
117,149878,Brasil,2016,97.2731154672467,145791
118,152414,Brasil,2017,97.6688493183041,148861
119,146132,Brasil,2018,97.91079298168779,143079
120,158148,Brasil,2013,95.27531173331309,150676
121,156688,Brasil,2014,94.86559277034617,148643
122,149841,Brasil,2015,95.33839202888394,142856
123,149878,Brasil,2016,96.04611750890724,143952
124,152414,Brasil,2017,96.70502709724829,147392
125,146132,Brasil,2018,97.032819642515,141796
126,158148,Brasil,2013,89.64956875837822,141779
127,156688,Brasil,2014,87.1777034616563,136597
128,149841,Brasil,2015,86.3201660426719,129343
129,149878,Brasil,2016,86.41828687332364,129522
130,152414,Brasil,2017,86.39167005655648,131673
131,146132,Brasil,2018,86.29800454383708,126109
132,158148,Brasil,2013,95.52065154159395,151064
133,156688,Brasil,2014,95.65250689267845,149876
134,149841,Brasil,2015,95.68542655214527,143376
135,149878,Brasil,2016,95.94737052802947,143804
136,152414,Brasil,2017,96.16176991614942,146564
137,146132,Brasil,2018,96.33071469630198,140770
138,158148,Brasil,2013,13.806055087639427,21834
139,156688,Brasil,2014,15.516823241090574,24313
140,149841,Brasil,2015,18.109195747492343,27135
141,149878,Brasil,2016,19.51453849130626,29248
142,152414,Brasil,2017,20.521080740614376,31277
143,146132,Brasil,2018,21.447732187337476,31342
144,158148,Brasil,2013,27.622859599868477,43685
145,156688,Brasil,2014,30.304809557847438,47484
146,149841,Brasil,2015,34.85160937260162,52222
147,149878,Brasil,2016,37.81141995489665,56671
148,152414,Brasil,2017,41.25802091671369,62883
149,146132,Brasil,2018,43.17124243834341,63087
150,158148,Brasil,2013,22.693932265978702,35890
151,156688,Brasil,2014,24.26733380986419,38024
152,149841,Brasil,2015,27.76409660907228,41602
153,149878,Brasil,2016,29.771547525320596,44621
154,152414,Brasil,2017,30.42568268006876,46373
155,146132,Brasil,2018,32.24550406481811,47121
