,total,name,year
0,901981.0,Brasil,2007
1,907219.0,Brasil,2008
2,916524.0,Brasil,2009
3,930303.0,Brasil,2010
4,996117.0,Brasil,2015
5,1014978.0,Brasil,2016
6,1047256.0,Brasil,2017
7,1046039.0,Brasil,2018
8,,Brasil,2019
