,total,name,year
0,1569532,Brasil,2007
1,1633807,Brasil,2008
2,1475489,Brasil,2009
3,1637231,Brasil,2010
4,1654623,Brasil,2011
5,1689371,Brasil,2012
6,1721910,Brasil,2013
7,1745047,Brasil,2014
8,1740070,Brasil,2015
9,1744638,Brasil,2016
10,1737492,Brasil,2017
11,1751211,Brasil,2018
12,1730050,Brasil,2019
