,total,name,year
0,366882,Brasil,2010
1,378257,Brasil,2011
2,378939,Brasil,2012
3,383683,Brasil,2013
4,396595,Brasil,2014
5,401299,Brasil,2015
6,397611,Brasil,2016
7,392036,Brasil,2017
