,total,name,year
0,13942,Brasil,2007
1,13203,Brasil,2008
2,11709,Brasil,2009
3,10557,Brasil,2010
4,6612,Brasil,2015
5,6020,Brasil,2016
6,5340,Brasil,2017
7,5185,Brasil,2018
8,3799,Brasil,2019
