,total,name,year
0,151861,Brasil,2007
1,151420,Brasil,2008
2,150074,Brasil,2009
3,148093,Brasil,2010
4,140498,Brasil,2015
5,140045,Brasil,2016
6,138777,Brasil,2017
7,136113,Brasil,2018
8,135377,Brasil,2019
